GeoType;GEOID;name;TotalPop;happening;happeningOppose;real_parthuman;real_parthumanOppose;real_human;real_humanOppose;captrade_bin;captrade_binOppose;carbon_tax_bin;carbon_tax_binOppose
National;National;Canada;25997060;78.609;15.519;61.219;38.781;44.237;55.763;65.93;26.926;49.484;44.011
Province;48;Alberta;2880655;66.952;25.447;47.399;52.601;27.988;72.012;62.2;31.79;44.14;49.259
Province;59;British Columbia;3647375;82.135;12.153;62.149;37.851;42.161;57.839;62.843;29.466;57.061;36.386
Province;46;Manitoba;941640;67.771;24.462;58.468;41.532;42.238;57.762;65.012;27.506;50.404;42.014
Province;13;New Brunswick;589435;75.462;17.832;55.586;44.414;41.712;58.288;66.62;26.039;45.72;48.122
Province;10;Newfoundland;430840;76.45;22.801;54.521;45.479;45.519;54.481;62.124;32.944;44.558;50.474
Province;12;Nova Scotia;762980;87.045;7.163;61.156;38.844;45.382;54.618;66.719;26.597;48.684;44.964
Province;35;Ontario;10410965;78.721;15.125;63.071;36.929;46.235;53.765;65.768;26.851;49.422;44.024
Province;11;Prince Edward Island;113350;81.738;12.806;59.511;40.489;41.133;58.867;70.404;22.824;45.742;47.21
Province;24;Quebec;5409365;85.226;10.553;67.891;32.109;52.562;47.438;70.964;21.842;49.006;44.728
Province;47;Saskatchewan;810455;66.22;25.894;48.988;51.012;32.928;67.072;62.775;30.754;43.919;49.265
Riding;10001;Avalon;66615;75.27;22.413;53.906;46.094;41.086;58.914;65.998;29.841;40.579;52.975
Riding;10002;Bonavista-Burin-Trinity;65735;74.445;20.354;53.937;46.063;42.845;57.155;66.663;28.668;43.524;48.939
Riding;10003;Coast of Bays-Central-Notre Dame;65665;74.948;20.244;52.34;47.66;41.227;58.773;66.716;28.494;42.272;50.316
Riding;10005;Long Range Mountains;74485;76.697;18.898;54.836;45.164;44.115;55.885;67.945;27.596;44.369;48.616
Riding;10006;St. John's East;67580;83.382;16.14;66.017;33.983;48.252;51.748;70.296;25.877;46.661;47.524
Riding;10007;St. John's South-Mount Pearl;69145;80.935;17.818;62.061;37.939;46.88;53.12;69.181;26.906;43.066;51.387
Riding;11001;Cardigan;29160;80.116;14.598;60.947;39.053;45.434;54.566;66.725;28.168;43.742;49.633
Riding;11002;Charlottetown;28255;84.859;10.447;68.042;31.958;52.716;47.284;69.114;25.089;51.678;41.617
Riding;11003;Egmont;27385;72.872;18.734;51.295;48.705;37.4;62.6;62.414;31.221;39.538;52.723
Riding;11004;Malpeque;28315;81.273;14.286;63.634;36.366;46.03;53.97;66.726;28.015;43.838;49.866
