OBJECTID,ZIP,ZIPCODE,COUNTY,SHAPE_Length,SHAPE_Area
1,98001,98001,033,146572.386131081,526629262.353146
2,98002,98002,033,102448.48581117,205568823.683246
3,98003,98003,033,120498.922010419,317076887.724314
4,98004,98004,033,99214.8492166376,250545474.233141
5,98005,98005,033,113798.399743047,209630299.009517
6,98006,98006,033,104197.607667927,332906326.718999
7,98007,98007,033,110869.635659675,117524215.609904
8,98008,98008,033,91872.2798855006,221698402.064864
9,98010,98010,033,134236.96854767,518248270.606173
10,98011,98011,033,70949.0631480507,198270745.747512
11,98012,98012,061,110807.667440267,421686534.160958
12,98014,98014,033,227524.534617154,1160183710.8277
13,98019,98019,033,312688.575645095,3189847404.65685
14,98020,98020,061,89185.1959200527,505208435.423059
15,98021,98021,061,101755.391530082,273011416.71856
16,98022,98022,033,735799.756117997,11359799657.7513
17,98022,98022,053,295979.59313243,2507633667.57865
18,98023,98023,033,109980.591432824,515140949.135558
19,98024,98024,033,362554.841388031,2181634312.72008
20,98026,98026,061,142218.854467582,466680530.486597
21,98027,98027,033,275424.573773214,1674169044.78202
22,98028,98028,033,71488.2333289711,199653132.878858
23,98029,98029,033,111093.719209201,277424676.168444
24,98030,98030,033,94409.5310575278,200095359.614984
25,98031,98031,033,117947.165035707,227957278.286741
26,98032,98032,033,166737.670083885,482675359.216291
27,98033,98033,033,102220.119368356,331559102.554508
28,98034,98034,033,104151.33523769,325202717.152503
29,98036,98036,061,111757.196409207,267202386.343357
30,98037,98037,061,78136.4139417953,168863904.681844
31,98038,98038,033,316441.954341354,1649846736.51325
32,98039,98039,033,61258.0253765277,155177416.667039
33,98040,98040,033,86242.1868365291,355630911.351249
34,98042,98042,033,207492.778122632,761825541.250507
35,98043,98043,061,46970.6953487649,115804615.248426
36,98045,98045,033,632072.890285314,8059174608.24212
37,98047,98047,033,40407.106819566,48433350.5367019
38,98047,98047,053,19937.7316002345,19319884.4019233
39,98051,98051,033,211663.338083597,1150005807.53141
40,98052,98052,033,162722.553824674,559234632.773993
41,98053,98053,033,201103.986678937,774000610.941885
42,98055,98055,033,68488.830057998,124194561.251336
43,98056,98056,033,90631.0297289448,233316898.356467
44,98057,98057,033,88614.5062455474,189796212.261539
45,98058,98058,033,174295.929229767,627855681.023318
46,98059,98059,033,145598.074700062,462241543.898771
47,98065,98065,033,345717.474631321,2404508901.33708
48,98068,98068,037,220477.114044952,1769965784.81673
49,98070,98070,033,205883.685184602,2275005193.18012
50,98072,98072,033,119472.957763454,376794578.991109
51,98072,98072,061,78248.2385541088,151344185.732975
52,98074,98074,033,116776.511905154,375981437.161379
53,98075,98075,033,132520.190157265,335823648.513237
54,98077,98077,033,117061.092439739,419740022.474565
55,98077,98077,061,50110.1240027819,75926075.4465442
56,98087,98087,061,68003.518404302,156580451.881048
57,98092,98092,033,263490.177246238,1215186523.60777
58,98092,98092,053,29033.3415597114,31805301.3298675
59,98101,98101,033,34632.5844726892,24587724.1459133
60,98102,98102,033,37488.780104625,43221886.2842155
61,98103,98103,033,71421.2125039299,144008318.992662
62,98104,98104,033,43354.1797930857,38805578.7851059
63,98105,98105,033,82483.9758070182,150437702.68643
64,98106,98106,033,87139.5465831445,153182926.624764
65,98107,98107,033,48012.0372130117,67116200.1215748
66,98108,98108,033,84808.362509578,215057961.399713
67,98109,98109,033,40749.0324569214,66355768.5845024
68,98110,98110,035,191012.615667786,1852123627.87413
69,98112,98112,033,54445.0154594584,140370064.465715
70,98115,98115,033,86527.7628165793,243253761.774923
71,98116,98116,033,85203.5463733748,370352922.547691
72,98117,98117,033,71232.0125397652,178122991.226615
73,98118,98118,033,87566.5671144331,257293222.254511
74,98119,98119,033,55400.3949539675,110904647.173631
75,98121,98121,033,27856.2006589453,27805974.4144514
76,98122,98122,033,58229.8025459721,90357859.6049931
77,98125,98125,033,70849.7049402075,180053085.013819
78,98126,98126,033,83979.6442834554,105977929.054667
79,98133,98133,033,95065.033678756,195422050.389839
80,98134,98134,033,58749.8215988578,125109166.79934
81,98136,98136,033,72663.127548642,239358674.924019
82,98144,98144,033,57767.7185545632,138129352.678102
83,98146,98146,033,83402.0880371747,257595524.341579
84,98148,98148,033,69372.5769758437,79595149.9670838
85,98154,98154,033,1105.87302686281,76423.0893196818
86,98155,98155,033,72453.040856964,231167189.789612
87,98158,98158,033,34571.1180101486,58144735.0316491
88,98164,98164,033,1115.52372552449,77740.2427774765
89,98166,98166,033,103624.090593007,418832483.874612
90,98168,98168,033,105379.386315841,258885193.477369
91,98177,98177,033,115169.027483969,513428794.496488
92,98178,98178,033,69536.5688645688,152355433.429393
93,98188,98188,033,94574.3118962101,218702266.757707
94,98195,98195,033,20357.7845311659,26607146.6746213
95,98198,98198,033,120337.456454044,331701317.188856
96,98199,98199,033,90827.8943479478,418124792.638686
97,98201,98201,061,119720.945786153,665527491.281037
98,98203,98203,061,113764.870821579,432068564.95477
99,98204,98204,061,83247.1998052017,250191195.937024
100,98205,98205,061,203110.972962978,632952844.934699
101,98206,98260,061,43820.7109447024,125679219.600433
102,98208,98208,061,140817.660354459,361491037.602848
103,98223,98223,061,573249.370146921,9188799814.22834
104,98224,98224,033,187335.038391871,1720744791.80745
105,98241,98241,061,489725.411504837,10702285422.09
106,98251,98251,061,170540.044425015,1365169847.79744
107,98252,98252,061,655587.484436402,11458033797.9266
108,98258,98258,061,188174.033036494,746870630.842723
109,98270,98270,061,129683.816717189,401548257.8205
110,98271,98271,061,273762.810214314,1882315398.03562
111,98272,98272,061,281451.339317899,2513539678.76854
112,98275,98275,061,102050.18080981,359176272.606875
113,98282,98282,061,24190.2130862226,24208128.695281
114,98288,98288,033,484750.174254823,8748979854.82841
115,98290,98290,061,347710.847641898,2852193028.79382
116,98292,98292,061,283058.030469347,2638509521.2725
117,98294,98294,061,621328.892220896,10936936876.4945
118,98296,98296,061,263970.850772549,1048106689.03881
119,98303,98303,053,86109.7717792745,505103341.142738
120,98304,98304,053,148164.537562447,322185545.868362
121,98310,98310,035,62880.6152436084,215379698.035049
122,98311,98311,035,80878.3270728613,381528373.252485
123,98312,98312,035,231764.62121581,1967531262.20298
124,98314,98314,035,33968.7109851422,52357037.1653993
125,98315,98315,035,99140.1783848753,397694028.912987
126,98321,98321,053,203533.62968489,1143293754.01343
127,98323,98323,053,161148.78359653,826550529.317862
128,98327,98327,053,88916.9010853031,284825355.057545
129,98328,98328,053,304188.899347248,2717657368.1094
130,98329,98329,053,125259.16107484,837983705.808521
131,98330,98330,053,45773.0853727237,53285059.1051789
132,98332,98332,053,124096.478411263,785013319.239362
133,98333,98333,053,93982.9134531238,474765168.025232
134,98335,98335,053,148852.834576878,997643457.226831
135,98337,98337,035,31237.0488355685,40203850.3906206
136,98338,98338,053,224377.435803058,1600401561.97815
137,98340,98340,035,117381.344743022,760918899.351042
138,98342,98342,035,60416.4369453497,195618382.105512
139,98345,98345,035,22192.8811488408,26810071.0786869
140,98346,98346,035,217811.701393224,1592781724.85791
141,98349,98349,053,158957.20922865,1073807096.15332
142,98351,98351,053,99887.0872180391,494363984.2531
143,98354,98354,033,23121.9762212194,14303083.9909543
144,98354,98354,053,41500.7186677461,57586161.58822
145,98359,98359,035,91932.2068593888,450601060.435528
146,98360,98360,053,253905.895426376,1460825806.29196
147,98366,98366,035,157427.758319046,1104988854.77196
148,98367,98367,035,226767.596123873,2236344633.29351
149,98370,98370,035,299945.487866255,2089770853.05179
150,98371,98371,053,94169.3095715084,362704627.784403
151,98372,98372,053,108969.641327576,373917057.569926
152,98373,98373,053,64284.7284903798,257979680.737516
153,98374,98374,053,108095.146234555,467542205.575918
154,98375,98375,053,65271.0366198452,258436976.172594
155,98380,98380,035,220698.672515085,1756054322.38619
156,98383,98383,035,139590.409948881,581580548.324791
157,98385,98385,053,13894.8283551668,11206789.9948779
158,98387,98387,053,222586.298089325,600727089.722394
159,98388,98388,053,147849.458775035,749838964.645136
160,98390,98390,053,102124.291307682,259404684.057193
161,98391,98391,053,195916.199596941,1080336408.05228
162,98392,98392,035,44989.0839817578,67162088.3977516
163,98394,98394,053,64946.1999567953,218128724.077443
164,98396,98396,053,735525.488245865,12041118433.7012
165,98397,98397,053,428882.209405492,8546367833.21705
166,98402,98402,053,29981.6897318356,26864883.6692204
167,98403,98403,053,42022.9125783908,94973264.7801187
168,98404,98404,053,61572.1540081928,216064462.008721
169,98405,98405,053,50261.0996227645,119311833.966502
170,98406,98406,053,68358.0234919303,127371064.004017
171,98407,98407,053,89427.6059290088,407065882.255089
172,98408,98408,053,40949.9220891062,95930077.6270436
173,98409,98409,053,74004.1752357571,203658768.829931
174,98416,98416,053,9681.51153390196,4084771.83370225
175,98418,98418,053,27782.0267264372,46885764.0973229
176,98421,98421,053,71249.4513701805,245586500.832526
177,98422,98422,033,19494.4937593965,2405965.1706667
178,98422,98422,053,88468.6882578518,285729490.767642
179,98424,98424,053,70301.3639898691,151535025.974483
180,98430,98430,053,16682.29140856,13323855.4863454
181,98433,98433,053,365217.191568537,2980563836.90422
182,98438,98438,053,74075.4067988869,179111621.438611
183,98439,98439,053,31208.6762531011,32367052.8874641
184,98443,98443,053,51842.2284127912,138725726.547268
185,98444,98444,053,84939.7866794061,193899334.214202
